,REF_DATE,GEO,DGUID,Month of birth,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
34,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, April",Number of live births,Number,223,units,0,v21400570,2.5.1,620.0,,,,0
35,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, April",Percentage of live births,Percentage,242,units,0,v21400571,2.5.2,8.7,,,,1
36,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, May",Number of live births,Number,223,units,0,v21400572,2.6.1,623.0,,,,0
37,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, May",Percentage of live births,Percentage,242,units,0,v21400573,2.6.2,8.7,,,,1
38,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, June",Number of live births,Number,223,units,0,v21400574,2.7.1,602.0,,,,0
39,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, June",Percentage of live births,Percentage,242,units,0,v21400575,2.7.2,8.4,,,,1
40,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, July",Number of live births,Number,223,units,0,v21400576,2.8.1,628.0,,,,0
41,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, July",Percentage of live births,Percentage,242,units,0,v21400577,2.8.2,8.8,,,,1
42,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, August",Number of live births,Number,223,units,0,v21400578,2.9.1,576.0,,,,0
43,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, August",Percentage of live births,Percentage,242,units,0,v21400579,2.9.2,8.0,,,,1
44,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, September",Number of live births,Number,223,units,0,v21400580,2.10.1,652.0,,,,0
45,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, September",Percentage of live births,Percentage,242,units,0,v21400581,2.10.2,9.1,,,,1
46,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, October",Number of live births,Number,223,units,0,v21400582,2.11.1,607.0,,,,0
47,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, October",Percentage of live births,Percentage,242,units,0,v21400583,2.11.2,8.5,,,,1
48,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, November",Number of live births,Number,223,units,0,v21400584,2.12.1,539.0,,,,0
49,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, November",Percentage of live births,Percentage,242,units,0,v21400585,2.12.2,7.5,,,,1
50,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, December",Number of live births,Number,223,units,0,v21400586,2.13.1,532.0,,,,0
51,1991-01-01,"Newfoundland and Labrador, place of residence of mother",2016A000210,"Month of birth, December",Percentage of live births,Percentage,242,units,0,v21400587,2.13.2,7.4,,,,1
52,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Total, month of birth",Number of live births,Number,223,units,0,v21400588,3.1.1,1885.0,,,,0
53,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Total, month of birth",Percentage of live births,Percentage,242,units,0,v21400589,3.1.2,100.0,,,,1
54,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, January",Number of live births,Number,223,units,0,v21400590,3.2.1,151.0,,,,0
55,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, January",Percentage of live births,Percentage,242,units,0,v21400591,3.2.2,8.0,,,,1
56,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, February",Number of live births,Number,223,units,0,v21400592,3.3.1,134.0,,,,0
57,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, February",Percentage of live births,Percentage,242,units,0,v21400593,3.3.2,7.1,,,,1
